Kernel,Filesize,Blocksize,Round,Write,Read
4.15.0-42-generic,524288,2048,5,17600000,28700000
4.15.0-42-generic,524288,2048,6,15600000,20200000
4.15.0-42-generic,524288,2048,7,14900000,20300000
4.15.0-42-generic,524288,2048,8,16000000,23500000
4.15.0-42-generic,524288,2048,9,16300000,17700000
4.15.0-42-generic,524288,2048,10,18100000,34500000
4.15.0-42-generic,524288,2048,11,12900000,25600000
4.15.0-42-generic,524288,2048,12,16700001,25800000
4.15.0-42-generic,524288,2048,13,16200001,17400000
4.15.0-42-generic,524288,2048,14,12000000,18200000
4.15.0-42-generic,524288,2048,15,19700000,20700000
4.15.0-42-generic,524288,2048,16,16400000,19800000
4.15.0-42-generic,524288,2048,17,18700000,29100000
4.15.0-42-generic,524288,2048,18,17700000,23000000
4.15.0-42-generic,524288,2048,19,19100000,29600000
4.15.0-42-generic,524288,2048,20,14100000,25600000
4.15.0-42-generic,524288,2048,21,17200000,30600000
4.15.0-42-generic,524288,2048,22,20200000,24600000
4.15.0-42-generic,524288,2048,23,16900000,30700000
4.15.0-42-generic,524288,2048,24,18400000,18500000
4.15.0-42-generic,524288,2048,25,15100000,10800000
4.15.0-42-generic,524288,2048,26,18000000,17100000
4.15.0-42-generic,524288,2048,27,18800000,27700000
4.15.0-42-generic,524288,2048,28,13700000,19300000
4.15.0-42-generic,524288,2048,29,12900000,22600000
4.15.0-42-generic,524288,2048,30,13800000,20100000
4.15.0-42-generic,524288,2048,31,19900000,21300000
4.15.0-42-generic,524288,2048,32,14000000,26400000
4.15.0-42-generic,524288,2048,33,14100000,21600000
4.15.0-42-generic,524288,2048,34,17700000,22600000
4.15.0-42-generic,524288,2048,35,13000000,18300000
4.15.0-42-generic,524288,2048,36,18500000,21000000
4.15.0-42-generic,524288,2048,37,13800000,21200000
4.15.0-42-generic,524288,2048,38,18900000,33700000
4.15.0-42-generic,524288,2048,39,12800000,23300000
4.15.0-42-generic,524288,2048,40,16400000,21700000
4.15.0-42-generic,524288,2048,41,20200000,26900000
4.15.0-42-generic,524288,2048,42,20300000,24800000
4.15.0-42-generic,524288,2048,43,15900000,22700000
4.15.0-42-generic,524288,2048,44,17800000,17200000
4.15.0-42-generic,524288,2048,45,15000000,33900000
4.15.0-42-generic,524288,2048,46,19000000,29600000
4.15.0-42-generic,524288,2048,47,16300000,23700000
4.15.0-42-generic,524288,2048,48,18300000,33600000
4.15.0-42-generic,524288,2048,49,8600000,24500000
4.15.0-42-generic,524288,2048,50,17200000,29400000
4.15.0-42-generic,524288,2048,51,16900000,26500000
4.15.0-42-generic,524288,2048,52,20800000,31300000
4.15.0-42-generic,524288,2048,53,44800000,20500000
4.15.0-42-generic,524288,2048,54,20500000,31000000
4.15.0-42-generic,524288,2048,55,13700000,21600000
4.15.0-42-generic,524288,2048,56,12400000,20700000
4.15.0-42-generic,524288,2048,57,15500000,24200000
4.15.0-42-generic,524288,2048,58,14200000,27600000
4.15.0-42-generic,524288,2048,59,19500000,27900000
4.15.0-42-generic,524288,2048,60,18900000,21000000
4.15.0-42-generic,524288,2048,61,17800000,21300000
4.15.0-42-generic,524288,2048,62,19500000,22700000
4.15.0-42-generic,524288,2048,63,15600000,30200000
4.15.0-42-generic,524288,2048,64,17200000,25200000
4.15.0-42-generic,524288,2048,65,19100000,28700000
4.15.0-42-generic,524288,2048,66,13600000,27700000
4.15.0-42-generic,524288,2048,67,13700000,20700000
4.15.0-42-generic,524288,2048,68,17000000,38800000
4.15.0-42-generic,524288,2048,69,18700000,34100000
4.15.0-42-generic,524288,2048,70,20500000,31700000
4.15.0-42-generic,524288,2048,71,16400000,23100000
4.15.0-42-generic,524288,2048,72,20000000,26100000
4.15.0-42-generic,524288,2048,73,17100000,28200000
4.15.0-42-generic,524288,2048,74,21500000,29000000
4.15.0-42-generic,524288,2048,75,20000000,22600000
